ACC_X 0, ACC_Y 0, ACC_Z 0, ACC_X 1, ACC_Y 1, ACC_Z 1, ACC_X 3, ACC_Y 3, ACC_Z 3, ACC_X 4, ACC_Y 4, ACC_Z 4, Time[ms]
0.046876, -0.112796, 1.032502, 0.011231, 0.785668, -0.628681, 0.172368, 0.998565, 0.016358, 0.068117, -0.533707, 0.802514,  --- 336.728
0.046876, -0.105716, 1.038117, 0.013184, 0.775902, -0.618427, 0.166997, 0.996856, 0.002197, 0.088626, -0.527604, -0.013672,  --- 340.728
0.046876, -0.111576, 1.032258, 0.015625, 0.780053, -0.622333, 0.157964, 1.001007, 0.027100, 0.072512, -0.537126, 0.813013,  --- 344.738
0.058107, -0.110843, 1.036896, 0.015625, 0.779076, -0.619403, 0.169439, 1.004669, 0.026612, 0.062502, -0.528580, 0.816187,  --- 348.727
0.050050, -0.114750, 1.036896, 0.015625, 0.778344, -0.007324, 0.162847, 1.003448, 0.017090, 0.077395, -0.535172, 0.005127,  --- 352.728
0.054201, -0.109867, 1.027619, 0.017090, 0.779809, -0.614276, 0.156255, 0.997589, 0.026612, 0.071047, -0.533219, 0.818140,  --- 356.726
0.051027, -0.111576, 1.030793, 0.015625, 0.777611, -0.618915, 0.156255, 1.000274, 0.027345, 0.082278, -0.530534, 0.830347,  --- 360.727
0.051027, -0.109867, 1.035920, 0.013428, 0.780541, -0.618427, 0.159917, 1.004669, 0.017823, 0.063478, -0.539323, 0.807642,  --- 364.726
0.053468, -0.113773, 1.040559, 0.008301, 0.778100, -0.614520, 0.169195, 0.997345, 0.009033, 0.080569, -0.532243, -0.003906,  --- 368.727
0.049562, -0.108890, 1.031769, 0.011963, 0.777367, 0.002197, 0.163579, 1.001739, 0.014405, 0.062502, -0.537858, 0.002686,  --- 372.727
0.052736, -0.111331, 1.040803, 0.013916, 0.796167, -0.614276, 0.171880, 0.998077, 0.038575, 0.076174, -0.528580, 0.822779,  --- 376.729
0.046876, -0.108890, 1.036164, 0.014161, 0.784936, 0.013184, 0.171819, 1.008087, 0.022217, 0.081790, -0.531998, -0.003418,  --- 380.728
0.046876, -0.114994, 1.031769, 0.013916, 0.782983, -0.625263, 0.169439, 0.996856, 0.033204, 0.071047, -0.536881, 0.808862,  --- 384.728
0.046876, -0.112796, 1.026886, 0.012696, 0.778344, -0.616962, -0.002441, 1.000030, 0.030274, 0.000977, -0.516373, 0.831812,  --- 387.726
0.053468, -0.108158, 1.028107, 0.014405, 0.783471, -0.615253, 0.169927, 1.000763, 0.035890, 0.072512, -0.535417, 0.804468,  --- 390.727
0.062441, -0.107669, 1.027375, 0.012207, 0.781274, -0.609882, 0.012452, 1.002716, 0.027345, 0.001953, -0.532487, 0.803979,  --- 394.727
0.046876, -0.107913, 1.038117, 0.011963, 0.782738, -0.614765, 0.166265, 0.999054, 0.027100, 0.085452, -0.526871, 0.822779,  --- 398.728
0.046876, -0.108646, 1.033234, 0.010743, 0.780785, -0.617206, 0.000000, 1.002228, 0.031739, 0.005615, -0.537126, 0.797876,  --- 402.729
0.046876, -0.105228, 1.029328, 0.013428, 0.780297, -0.607684, 0.169439, 1.003937, 0.025147, 0.097659, -0.529069, 0.829371,  --- 405.726
0.053713, -0.102542, 1.032014, 0.011963, 0.781029, -0.616230, 0.171880, 1.000274, 0.033204, 0.062502, -0.532731, 0.812280,  --- 409.727
0.052492, -0.107425, 1.029328, 0.000000, 0.781762, -0.624042, 0.156255, 1.002716, 0.024903, 0.084964, -0.538590, -0.005860,  --- 413.726
0.046876, -0.105716, 1.035432, 0.013184, 0.782494, -0.608661, 0.178716, 0.994659, 0.048341, 0.084475, -0.532731, -0.004395,  --- 417.728
0.031251, -0.104495, 1.029084, 0.016114, 0.787866, -0.608661, 0.166997, 1.001007, 0.022217, 0.073244, -0.533463, 0.810815,  --- 420.726
0.046876, -0.102542, 1.034943, 0.000000, 0.782983, -0.611835, 0.156255, 0.998077, 0.039796, 0.086673, -0.529801, 0.825220,  --- 424.728
0.046876, -0.108890, 1.032746, 0.012696, 0.785424, -0.610614, 0.167241, 1.004913, 0.021241, 0.074221, -0.531266, 0.810327,  --- 428.726
0.049318, -0.102298, 1.036652, 0.017090, 0.778588, -0.615741, 0.170659, 0.996612, 0.034669, 0.078127, -0.531266, 0.817896,  --- 432.727
0.047121, -0.110843, 1.035676, 0.015381, 0.779564, -0.616230, 0.156255, 1.000518, 0.031007, 0.081545, -0.531022, 0.808618,  --- 436.726
0.046876, -0.111820, 1.032258, 0.000000, 0.779564, -0.617450, 0.170415, 0.998809, 0.025636, 0.078127, 0.013916, 0.822290,  --- 440.729
0.046876, -0.113285, 1.036164, 0.011475, 0.787377, -0.629169, 0.176275, 1.001007, 0.033204, 0.086184, -0.531266, 0.826197,  --- 443.726
0.052736, -0.111331, 1.036652, 0.015625, 0.781762, -0.624775, 0.165532, 1.004913, 0.021973, 0.062502, -0.534196, 0.813501,  --- 447.727
0.048097, -0.110599, 1.031037, 0.013916, 0.779320, -0.615253, 0.167241, 0.998565, 0.028809, 0.081545, -0.525651, 0.826197,  --- 451.727
0.046876, -0.114261, 1.034943, 0.015870, 0.782250, -0.622089, 0.167486, 1.009796, 0.008057, 0.071047, -0.531266, 0.814966,  --- 455.725
0.046876, -0.111576, 1.030793, 0.015137, 0.774682, -0.619159, 0.166997, 0.997345, 0.027100, 0.077151, -0.530045, 0.826197,  --- 459.728
0.046876, -0.113285, 1.026398, 0.015625, 0.782983, -0.616718, 0.009766, 1.005646, 0.024903, 0.010987, -0.528825, 0.827906,  --- 463.728
0.062441, -0.115238, 1.030549, 0.000000, 0.775414, -0.617939, 0.164556, 1.001739, 0.025391, 0.070559, -0.532243, 0.817896,  --- 467.728
0.046876, -0.118168, 1.033723, 0.017823, 0.780053, -0.622822, 0.156255, 1.003204, 0.014893, 0.078127, -0.528092, 0.829127,  --- 471.726
0.057375, -0.114261, 1.035432, 0.000000, 0.775902, -0.624042, 0.167486, 1.001495, 0.026856, 0.071047, -0.537614, 0.808130,  --- 475.726
0.051027, -0.113041, -0.015625, 0.015625, 0.778588, -0.614765, 0.160649, 1.006134, 0.030274, 0.081301, -0.526383, 0.823267,  --- 478.726
0.054933, -0.114261, 1.032014, 0.011231, 0.779809, -0.620868, 0.165288, 1.004425, 0.020020, 0.076907, -0.530045, 0.817652,  --- 482.726
0.046876, -0.115238, 1.031525, 0.016602, 0.774193, -0.618427, 0.169683, 1.000030, 0.025391, 0.069582, -0.531266, 0.809106,  --- 485.726
0.053713, -0.117191, 1.034699, 0.014893, 0.782006, -0.622577, 0.164067, 1.000763, 0.019288, 0.078860, -0.529557, 0.824976,  --- 493.726
