ACC_X 0, ACC_Y 0, ACC_Z 0, Time[ms]
-0.015625, -0.185552, 1.022004,  --- 652.000
-0.007324, -0.184576, 1.017853,  --- 653.999
-0.004639, -0.191900, 1.023224,  --- 656.005
-0.008057, -0.188971, 1.016876,  --- 657.999
0.000000, -0.188971, 1.021759,  --- 660.000
-0.015625, -0.188971, 1.023224,  --- 662.001
-0.015625, -0.190435, 1.020294,  --- 665.002
-0.006592, -0.194586, 1.022248,  --- 667.003
-0.008545, -0.002441, 1.018830,  --- 670.002
-0.015625, -0.191656, 1.021515,  --- 672.001
-0.015625, -0.191168, 1.022736,  --- 675.000
-0.009522, -0.190680, 1.024201,  --- 676.999
-0.004883, -0.192877, 1.023713,  --- 679.000
-0.006592, -0.191656, 1.019562,  --- 681.000
-0.015625, -0.187994, 1.017853,  --- 682.999
-0.015625, -0.191168, 1.008819,  --- 683.999
-0.004395, -0.198004, 1.019562,  --- 687.000
-0.007324, -0.190680, 1.018341,  --- 689.000
-0.015625, -0.187750, 1.025422,  --- 690.999
-0.015625, -0.194586, 1.018585,  --- 693.000
-0.012940, -0.194342, 1.009796,  --- 695.000
-0.015625, -0.192144, 1.014191,  --- 697.015
-0.009278, -0.194586, 1.018097,  --- 699.001
-0.006348, -0.193609, 1.014435,  --- 701.000
-0.015625, -0.192389, 1.026642,  --- 703.001
-0.015625, -0.192633, 1.029816,  --- 705.000
-0.006836, -0.191168, 1.024933,  --- 706.999
-0.003662, -0.194830, 1.017609,  --- 710.009
-0.004883, -0.193609, 1.019806,  --- 712.000
-0.004883, -0.194342, 1.024201,  --- 714.000
-0.015625, -0.191412, 1.014191,  --- 717.003
-0.005860, -0.194342, 1.022248,  --- 719.000
-0.015625, -0.187750, 1.013702,  --- 721.000
-0.002930, -0.191656, 1.022248,  --- 723.001
-0.008301, -0.191168, 1.019562,  --- 725.000
-0.004639, -0.193853, 1.019562,  --- 725.999
0.000000, -0.188726, 1.020294,  --- 729.002
-0.015625, -0.188238, 1.022004,  --- 730.999
-0.015625, -0.188238, 1.024445,  --- 732.999
-0.008545, -0.203131, 1.022004,  --- 735.002
-0.015625, -0.188726, 1.022248,  --- 737.000
-0.015625, -0.187750, 1.014923,  --- 738.000
-0.005860, -0.188482, 1.012970,  --- 741.005
-0.015625, -0.187017, 1.024933,  --- 743.000
-0.001953, -0.186529, 1.021515,  --- 744.999
-0.015625, -0.186285, 1.016876,  --- 747.003
-0.002930, -0.187506, 1.016388,  --- 749.001
-0.005371, -0.188482, 1.018341,  --- 750.999
-0.015625, -0.187506, 1.019806,  --- 753.001
-0.008789, -0.185308, 1.022736,  --- 755.000
-0.004151, -0.188238, 1.024933,  --- 757.000
-0.015625, -0.188726, 1.021027,  --- 759.000
-0.003418, -0.185797, 1.018585,  --- 761.001
-0.015625, -0.185308, 1.015900,  --- 763.000
-0.015625, -0.188726, 1.019318,  --- 765.003
-0.000244, -0.187750, 1.019806,  --- 766.999
-0.004395, -0.185064, 1.019074,  --- 769.000
-0.009278, -0.186041, 1.022248,  --- 771.003
-0.015625, -0.188482, 1.019562,  --- 773.000
-0.015625, -0.186773, 1.018830,  --- 775.000
0.000000, -0.188971, 1.013947,  --- 777.000
-0.015625, -0.184576, 1.018341,  --- 778.999
-0.005371, -0.188238, 1.015411,  --- 781.000
-0.004395, -0.185797, 1.016388,  --- 783.000
-0.008545, -0.188971, 1.023713,  --- 785.001
-0.008301, -0.190191, 1.018097,  --- 786.999
-0.015625, -0.186285, -0.008789,  --- 789.001
-0.015625, -0.189215, 1.020294,  --- 790.999
-0.015625, -0.188482, 1.017120,  --- 793.015
-0.004883, -0.187506, 1.021027,  --- 796.000
-0.015625, -0.186773, 1.027375,  --- 796.999
-0.005615, -0.190191, 1.021515,  --- 799.000
-0.009522, -0.189703, 1.023224,  --- 801.001
-0.015625, -0.189947, 1.014435,  --- 803.000
-0.006592, -0.189947, 1.019318,  --- 804.999
-0.015625, -0.188482, 1.015656,  --- 807.001
-0.007569, -0.193121, 1.019074,  --- 808.999
-0.006592, -0.195074, 1.020539,  --- 810.999
-0.015625, -0.190435, 1.020783,  --- 813.005
-0.010987, -0.191412, 1.019562,  --- 815.000
-0.015625, -0.197760, 1.018830,  --- 817.000
-0.008301, -0.197272, 1.015656,  --- 819.003
-0.007813, -0.193609, 1.015656,  --- 821.000
-0.008545, -0.193853, 1.020050,  --- 823.000
-0.007080, -0.191412, 1.017120,  --- 826.004
-0.015625, -0.193853, 1.019074,  --- 828.001
-0.015625, -0.194830, 1.017853,  --- 831.002
-0.002441, -0.194098, 1.022980,  --- 834.001
-0.015625, -0.189459, 1.027131,  --- 836.001
-0.015625, -0.193121, 1.022004,  --- 838.002
-0.015625, -0.190924, 1.024201,  --- 840.000
-0.010010, -0.191900, 1.022004,  --- 842.999
-0.015625, -0.195563, 1.018585,  --- 845.000
-0.003906, -0.194098, 1.022980,  --- 847.000
-0.015625, -0.193121, 1.021271,  --- 850.003
-0.004883, -0.189459, 1.013214,  --- 852.000
