accx;accy;accz;time
516;320;15884;29876
516;320;15884;30048
516;320;15884;30220
516;240;15908;30392
516;240;15908;30564
516;240;15908;30740
516;240;15908;30912
516;240;15908;31084
516;240;15908;31256
512;244;15944;31428
512;244;15944;31604
512;244;15944;31780
512;244;15944;31952
512;244;15944;32124
512;244;15944;32296
504;268;15948;32468
504;268;15948;32648
504;268;15948;32820
504;268;15948;32992
504;268;15948;33164
508;244;15852;33336
508;244;15852;33508
508;244;15852;33688
508;244;15852;33860
508;244;15852;34032
508;244;15852;34204
484;240;15796;34376
484;240;15796;34548
484;240;15796;34724
484;240;15796;34896
484;240;15796;35072
484;240;15796;35244
532;280;15880;35416
532;280;15880;35588
532;280;15880;35764
532;280;15880;35936
532;280;15880;36108
532;280;15880;36280
560;284;15896;36452
560;284;15896;36624
560;284;15896;36804
560;284;15896;36976
560;284;15896;37148
536;256;15836;37320
536;256;15836;37492
536;256;15836;37664
536;256;15836;37844
536;256;15836;38016
536;256;15836;38188
528;248;15824;38360
528;248;15824;38532
528;248;15824;38704
528;248;15824;38884
528;248;15824;39056
528;248;15824;39228
516;232;15856;39400
516;232;15856;39572
516;232;15856;39744
516;232;15856;39920
516;232;15856;40092
516;232;15856;40268
508;240;15796;40440
508;240;15796;40612
508;240;15796;40784
508;240;15796;40960
508;240;15796;41132
496;272;15732;41304
496;272;15732;41476
496;272;15732;41648
496;272;15732;41820
496;272;15732;42000
496;272;15732;42172
532;308;15812;42344
532;308;15812;42516
532;308;15812;42688
532;308;15812;42860
532;308;15812;43040
532;308;15812;43212
532;316;15824;43384
532;316;15824;43556
532;316;15824;43728
532;316;15824;43900
532;316;15824;44080
532;316;15824;44252
528;296;15836;44424
528;296;15836;44596
528;296;15836;44768
528;296;15836;44944
528;296;15836;45116
528;296;15836;45288
568;320;15892;45460
568;320;15892;45636
568;320;15892;45808
568;320;15892;45984
568;320;15892;46156
548;340;15880;46328
548;340;15880;46500
548;340;15880;46672
548;340;15880;46844
548;340;15880;47024
548;340;15880;47196
500;300;15816;47368
500;300;15816;47540
500;300;15816;47712
500;300;15816;47884
500;300;15816;48064
500;300;15816;48236
532;308;15884;48408
532;308;15884;48580
532;308;15884;48752
532;308;15884;48924
532;308;15884;49104
532;308;15884;49276
552;320;15940;49448
552;320;15940;49620
552;320;15940;49792
552;320;15940;49964
