ACC_X 0, ACC_Y 0, ACC_Z 0, Time[ms]
0.109378, 0.975615, 0.245125,  --- 804.151001
0.126469, 0.963896, 0.231452,  --- 807.156006
0.109378, 0.974639, -0.002930,  --- 809.156006
0.109378, 0.976592, 0.252449,  --- 814.322998
0.120609, 0.969267, 0.234382,  --- 814.322998
0.109378, 0.970244, 0.235359,  --- 824.325989
0.000000, 0.977569, 0.229987,  --- 836.591003
0.112796, 0.971709, 0.237800,  --- 838.640015
0.109378, 0.967803, 0.248054,  --- 841.700989
0.109378, 0.975127, 0.249519,  --- 843.718018
0.119144, 0.971709, 0.231452,  --- 850.989014
0.107913, 0.970244, 0.230964,  --- 850.989014
0.118656, 0.971709, 0.246589,  --- 850.989014
0.109378, 0.973174, 0.240730,  --- 850.989014
0.109378, 0.964873, 0.241707,  --- 860.995972
0.109378, 0.969267, 0.218757,  --- 872.588013
0.106449, 0.973662, 0.240242,  --- 874.585999
0.111331, 0.968779, 0.246589,  --- 876.588013
0.115726, 0.973662, 0.233894,  --- 880.807983
0.109378, 0.966338, 0.238288,  --- 880.807983
0.109378, 0.966826, 0.228523,  --- 890.812988
0.125980, 0.976104, 0.231452,  --- 900.812012
0.109378, 0.973662, 0.219733,  --- 916.052979
0.116214, 0.964385, 0.237800,  --- 919.085999
0.109378, 0.966338, 0.226569,  --- 920.094971
0.116703, 0.965849, 0.221198,  --- 932.604004
0.119633, 0.975615, 0.225593,  --- 935.604004
0.110843, 0.962920, 0.251961,  --- 940.604004
0.121586, 0.969267, 0.233894,  --- 946.718994
0.109378, 0.971221, 0.232917,  --- 946.718994
0.109378, 0.974639, 0.245125,  --- 946.718994
0.116703, 0.962431, 0.225593,  --- 956.721985
0.120121, 0.971709, 0.231452,  --- 966.721985
0.115238, 0.965849, 0.240242,  --- 966.721985
0.116703, 0.966826, 0.234382,  --- 966.721985
0.109378, 0.968291, 0.220221,  --- 966.721985
0.122562, 0.973662, 0.234870,  --- 976.719971
0.112308, 0.977569, 0.229987,  --- 987.909973
0.114750, 0.963408, 0.240730,  --- 989.622009
0.114750, 0.966826, 0.242683,  --- 991.622986
0.109378, 0.967803, 0.238777,  --- 993.622009
0.122562, 0.966826, 0.238288,  --- 995.620972
0.114261, 0.972686, 0.218757,  --- 997.622009
0.109378, 0.974639, 0.222175,  --- 999.622009
0.109378, 0.968291, 0.232917,  --- 1005.622009
